validTime,temperature,wind_speed,precipitation,air_pressure,city
05-08 12:00,8.0,0.0,-9.0,13.8,trelleborg
05-09 00:00,6.0,0.0,0.0,8.8,trelleborg
05-09 12:00,5.0,0.0,0.0,9.5,trelleborg
05-10 00:00,8.0,0.0,0.0,8.1,trelleborg
05-10 12:00,2.0,0.0,0.0,9.3,trelleborg
05-11 00:00,3.0,0.0,0.0,7.7,trelleborg
05-11 12:00,1.0,0.0,0.0,9.4,trelleborg
05-02 00:00,3.4,2.4,4.1,1005.5,uppsala
05-02 01:00,3.2,2.7,3.9,1006.1,uppsala
05-02 02:00,2.8,2.6,4.1,1006.4,uppsala
05-02 03:00,2.4,3.9,4.7,1006.7,uppsala
05-02 04:00,2.0,6.5,4.7,1007.4,uppsala
05-02 05:00,2.2,6.3,5.0,1008.1,uppsala
05-02 06:00,0.0,0.0,-9.0,8.7,uppsala
05-02 07:00,0.0,0.0,-9.0,8.5,uppsala
05-02 08:00,0.0,0.0,-9.0,8.3,uppsala
05-02 09:00,0.0,0.0,-9.0,8.8,uppsala
05-02 10:00,0.0,0.0,-9.0,9.7,uppsala
05-02 11:00,0.0,0.0,-9.0,10.0,uppsala
05-02 12:00,0.0,0.0,-9.0,10.0,uppsala
05-02 13:00,0.0,0.0,-9.0,9.8,uppsala
05-02 14:00,0.0,0.0,-9.0,9.2,uppsala
05-02 15:00,0.0,0.0,-9.0,8.5,uppsala
05-02 16:00,2.0,0.0,-9.0,8.2,uppsala
05-02 17:00,4.0,0.0,-9.0,7.5,uppsala
05-02 18:00,7.0,0.0,-9.0,4.4,uppsala
05-02 19:00,8.0,0.0,-9.0,2.8,uppsala
05-02 20:00,8.0,0.0,-9.0,3.5,uppsala
05-02 21:00,8.0,0.0,-9.0,3.0,uppsala
05-02 22:00,8.0,0.0,-9.0,2.0,uppsala
05-02 23:00,6.0,0.0,-9.0,2.1,uppsala
05-03 00:00,6.0,0.0,-9.0,1.6,uppsala
05-03 01:00,6.0,0.0,-9.0,2.2,uppsala
05-03 02:00,6.0,0.0,-9.0,3.3,uppsala
05-03 03:00,4.0,0.0,-9.0,3.4,uppsala
05-03 04:00,1.0,0.0,-9.0,3.8,uppsala
05-03 05:00,0.0,0.0,-9.0,5.7,uppsala
05-03 06:00,0.0,0.0,-9.0,7.3,uppsala
05-03 07:00,0.0,0.0,-9.0,7.3,uppsala
